timestamp,code,msg_type
2026-08-05T09:33:13.055,03046T,depth
2026-08-05T09:33:13.055,03077T,depth
2026-08-05T09:33:13.198,03077T,depth
2026-08-05T09:33:13.277,03046T,depth
2026-08-05T09:33:13.537,03182T,depth
2026-08-05T09:33:13.610,03182T,depth
2026-08-05T09:33:13.610,03011T,depth
2026-08-05T09:33:13.610,03182T,depth
2026-08-05T09:33:13.610,03011T,depth
2026-08-05T09:33:13.673,03046T,depth
2026-08-05T09:33:13.674,03011T,depth
2026-08-05T09:33:13.674,03011T,depth
2026-08-05T09:33:13.674,03182T,depth
2026-08-05T09:33:13.674,03077T,depth
2026-08-05T09:33:13.674,03011T,depth
2026-08-05T09:33:13.674,03046T,depth
2026-08-05T09:33:13.676,03182T,depth
2026-08-05T09:33:13.676,03077T,depth
2026-08-05T09:33:13.736,03011T,depth
2026-08-05T09:33:13.736,03182T,depth
2026-08-05T09:33:14.639,03046T,depth
2026-08-05T09:33:14.719,03077T,depth
2026-08-05T09:33:14.719,03046T,depth
2026-08-05T09:33:14.719,03077T,depth
2026-08-05T09:33:14.719,03077T,depth
2026-08-05T09:33:14.972,03046T,depth
2026-08-05T09:33:15.034,03077T,depth
2026-08-05T09:33:15.166,03046T,depth
2026-08-05T09:33:15.247,03077T,depth
2026-08-05T09:33:15.247,03046T,depth
2026-08-05T09:33:15.247,03182T,depth
2026-08-05T09:33:15.247,03182T,depth
2026-08-05T09:33:15.247,03077T,depth
2026-08-05T09:33:15.247,03182T,depth
2026-08-05T09:33:15.247,03011T,depth
2026-08-05T09:33:15.328,03182T,depth
2026-08-05T09:33:15.328,03011T,depth
2026-08-05T09:33:15.329,03011T,depth
2026-08-05T09:33:15.646,03182T,depth
2026-08-05T09:33:15.710,03011T,depth
2026-08-05T09:33:15.712,03182T,depth
2026-08-05T09:33:15.712,03011T,depth
2026-08-05T09:33:15.712,03011T,depth
2026-08-05T09:33:15.712,030573,match
2026-08-05T09:33:15.712,030573,depth
2026-08-05T09:33:15.712,030573,match
2026-08-05T09:33:15.712,030573,depth
2026-08-05T09:33:15.712,030573,depth
2026-08-05T09:33:15.712,030573,depth
2026-08-05T09:33:15.712,03195T,depth
2026-08-05T09:33:15.712,03195T,depth
2026-08-05T09:33:15.712,03194T,depth
2026-08-05T09:33:15.712,03194T,depth
2026-08-05T09:33:15.712,03194T,depth
2026-08-05T09:33:15.712,03002T,depth
2026-08-05T09:33:15.712,03068T,depth
2026-08-05T09:33:15.721,03198T,depth
2026-08-05T09:33:15.721,03198T,depth
2026-08-05T09:33:15.721,03198T,depth
2026-08-05T09:33:15.721,03069T,depth
2026-08-05T09:33:15.721,03080T,depth
2026-08-05T09:33:15.721,03163T,depth
2026-08-05T09:33:15.731,03150T,depth
2026-08-05T09:33:15.731,03105T,depth
2026-08-05T09:33:15.731,03105T,depth
2026-08-05T09:33:15.731,03195T,depth
2026-08-05T09:33:15.806,03080T,depth
2026-08-05T09:33:15.806,03080T,depth
2026-08-05T09:33:15.806,031678,depth
2026-08-05T09:33:15.806,031678,depth
2026-08-05T09:33:15.806,030573,depth
2026-08-05T09:33:15.806,03163T,depth
2026-08-05T09:33:15.806,03163T,depth
2026-08-05T09:33:15.871,03163T,depth
2026-08-05T09:33:15.871,03046T,depth
2026-08-05T09:33:15.871,03077T,depth
2026-08-05T09:33:15.934,03057T,depth
2026-08-05T09:33:15.934,03057T,depth
2026-08-05T09:33:15.934,03074T,depth
2026-08-05T09:33:15.934,03074T,depth
2026-08-05T09:33:15.934,03074T,depth
